Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Wheel Size
Maruti,Baleno Delta,Third Party,Petrol,5,"16,957",GJ01,Second Owner,1197,Manual,2019,21.01,81.80,113,Jun,2019,40,6.53,Ahmedabad,
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"16,447",GJ12,First Owner,998,Manual,2019,21.7,65.71,89,Jun,2019,40,4.35,Ahmedabad,
Hyundai,i20 1.2 Spotz,Comprehensive,Petrol,5,"55,718",GJ01,First Owner,1197,Manual,2018,18.6,81.83,114.7,Jun,2018,50,6.16,Ahmedabad,
Mahindra,XUV500 AT W10 AWD,Third Party,Diesel,7,"79,105",GJ23,Second Owner,2179,Automatic,2017,16,140,330,Jun,2017,60,11.23,Ahmedabad,17
Maruti,Alto K10 VXI AMT,Comprehensive,Petrol,5,"26,000",GJ07,First Owner,998,Automatic,2018,23.95,67.05,90,Feb,2018,50,4.25,Ahmedabad,
Mercedes-Benz,GL-Class 350 CDI Luxury,Comprehensive,Diesel,7,"62,000",GJ01,First Owner,2987,Automatic,2013,12,224,510,Feb,2013,75,25.0,Ahmedabad,19
Mahindra,KUV 100 NXT D75 K8 Dual Tone,Third Party insurance,Diesel,6,"50,000",,First Owner,1198,Manual,2017,25.32,77,190,,,60,3.7,Ahmedabad,15
Hyundai,i10 Magna,Comprehensive,Petrol,5,"60,000",GJ01,First Owner,1197,Manual,2010,20.36,78.9,111.7,Feb,2010,75,2.61,Ahmedabad,13
Tata,Nano XTA,Comprehensive,Petrol,4,"42,000",GJ15,First Owner,624,Automatic,2016,21.9,37.48,51,Feb,2016,70,2.0,Ahmedabad,
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"1,20,000",,First Owner,796,Manual,2014,22.74,47.3,69,,,75,2.15,Ahmedabad,
Audi,A6 2.0 TDI Technology,Third Party insurance,Diesel,5,"90,000",,Fourth Owner,1968,Automatic,2013,17.68,174.33,380,,,75,11.0,Ahmedabad,17
Maruti,Celerio VXI MT BSIV,Third Party insurance,Petrol,5,"40,000",,First Owner,998,Manual,2019,23.1,67.04,90,,,40,4.2,Ahmedabad,
