Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,RTO,Wheel Size
Maruti,Zen Estilo LXI BS IV,Comprehensive,Petrol,5,"29,000",First Owner,998,Manual,2011,19,67.1,90,May,2011,75,1.65,Kolkata,WB26,13
Hyundai,Verna 1.4 VTVT,Comprehensive,Petrol,5,"52,126",First Owner,1396,Manual,2014,17.43,105.5,135.3,May,2014,75,3.49,Kolkata,WB08,15
Maruti,Wagon R LX BS IV,Third Party insurance,Petrol,5,"30,000",Second Owner,998,Manual,2013,20.51,67.04,90,,,75,1.56,Kolkata,,
Honda,City i VTEC V,Third Party insurance,Petrol,5,"49,000",First Owner,1497,Manual,2015,17.4,117.3,145,Jul,2015,75,4.6,Kolkata,WB02,15
Hyundai,i20 Active 1.4 SX,Third Party insurance,Diesel,5,"50,000",Third Owner,1396,Manual,2015,21.19,88.73,220,,,75,5.2,Kolkata,,16
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"21,000",First Owner,1248,Manual,2015,26.59,74,190,,,75,4.5,Kolkata,,
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"76,343",First Owner,1197,Manual,2014,19.1,85.8,114,Jun,2014,75,3.89,Kolkata,WB02,14
Ford,Ecosport 1.0 Ecoboost Titanium Optional,Third Party,Petrol,5,"59,813",Second Owner,999,Manual,2013,18.88,123.37,170,Jun,2013,75,4.4,Kolkata,WB02,16
Tata,Tigor XM,Third Party,Petrol,5,"69,925",First Owner,1199,Manual,2021,19.28,84.82,113,Jun,2021,20,6.38,Kolkata,WB42,
Hyundai,Verna 1.6 VTVT SX,Third Party,Petrol,5,"73,427",First Owner,1591,Manual,2016,17.01,121.3,154.9,Jun,2016,70,4.59,Kolkata,WB06,16
Hyundai,Verna 1.6 CRDi SX,Comprehensive,Diesel,5,"46,892",Second Owner,1582,Manual,2015,23.9,126.2,259.9,Jun,2015,75,5.7,Kolkata,WB26,16
Hyundai,i20 Active 1.2 SX,Third Party,Petrol,5,"72,657",First Owner,1197,Manual,2015,17.19,81.86,114.73,Jun,2015,75,4.45,Kolkata,WB02,16
Hyundai,Elantra 2.0 SX,Third Party,Petrol,5,"61,360",First Owner,1999,Manual,2017,14.59,149.92,192.2,Jun,2017,60,7.41,Kolkata,WB08,16
Ford,Ecosport 1.5 Diesel Titanium Plus BSIV,Third Party,Diesel,5,"89,354",First Owner,1498,Manual,2017,23,98.96,205,Jun,2017,60,5.91,Kolkata,WB06,16
Hyundai,Elite i20 2018 Diesel Asta Option,Third Party,Diesel,5,"90,744",First Owner,1396,Manual,2018,22.54,88.73,219.7,Jun,2018,50,5.95,Kolkata,WB24,16
Honda,City Corporate Edition,Third Party,Petrol,5,"81,042",First Owner,1497,Manual,2012,16.8,116.3,146,Jun,2012,75,3.15,Kolkata,WB06,15
Hyundai,i20 Active 1.2 S,Third Party,Petrol,5,"50,214",Second Owner,1197,Manual,2016,17.19,81.86,114.73,Jun,2016,70,4.85,Kolkata,WB02,16
Hyundai,Santro Sportz BSIV,Third Party,Petrol,5,"20,366",Second Owner,1086,Manual,2019,20.3,68,99,Jun,2019,40,4.14,Kolkata,WB42,
Honda,WR-V i-VTEC VX,Comprehensive,Petrol,5,"37,000",First Owner,1199,Manual,2018,17.5,88.7,110,Feb,2018,50,6.85,Kolkata,WB06,16
Maruti,Swift VDI BSIV,Comprehensive,Diesel,5,"65,000",First Owner,1248,Manual,2015,17.8,,,Sept,2015,75,3.65,Kolkata,WB02,15
Jeep,Compass 2.0 Limited Option,Comprehensive,Diesel,5,"31,984",First Owner,1956,Manual,2017,17.1,170,350,Aug,2017,60,11.49,Kolkata,WB02,17
Honda,City i VTEC CVT VX,Comprehensive,Petrol,5,"42,000",First Owner,1497,Automatic,2017,18,117.3,145,May,2017,60,7.49,Kolkata,WB12,15
Renault,Lodgy Stepway 110PS RXZ 7S,Comprehensive,Diesel,7,"45,000",First Owner,1461,Manual,2017,19.98,108.5,245,May,2017,60,4.64,Kolkata,WB02,15
Hyundai,i20 Active 1.2 S,Comprehensive,Petrol,5,"47,000",First Owner,1197,Manual,2015,17.19,81.86,114.73,Oct,2017,75,4.21,Kolkata,WB12,16
Hyundai,Grand i10 1.2 CRDi Sportz,Comprehensive,Diesel,5,"43,217",First Owner,1186,Manual,2017,24,73.97,190.24,Aug,2017,60,3.65,Kolkata,WB02,
Jeep,Compass 2.0 Limited 4X4 Opt Diesel AT,Comprehensive,Diesel,5,"38,000",First Owner,1956,Automatic,2021,14.9,167.67,350,Feb,2021,20,21.95,Kolkata,WB02,18
Hyundai,Grand i10 Nios AMT Sportz,Comprehensive,Petrol,5,"6,95,000",First Owner,1197,Automatic,2020,20.7,81.86,113.8,Jun,2020,30,6.68,Kolkata,WB02,14
Maruti,Baleno 1.2 Alpha,Third Party,Petrol,5,"71,506",First Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,5.36,Kolkata,WB08,16
Maruti,Swift VDI,Third Party,Diesel,5,"91,653",First Owner,1248,Manual,2013,22.9,74,190,Jun,2013,75,3.41,Kolkata,WB02,14
Honda,WR-V i-VTEC VX,Third Party,Petrol,5,"32,763",Second Owner,1199,Manual,2017,17.5,88.7,110,Jun,2017,60,6.76,Kolkata,WB02,16
Ford,Ecosport 1.5 Petrol Titanium Plus AT BSIV,Third Party,Petrol,5,"53,457",First Owner,1497,Automatic,2018,14.8,121.36,150,Jun,2018,50,8.13,Kolkata,WB16,16
