Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,RTO,Wheel Size
Honda,Amaze S Petrol,Third Party insurance,Petrol,5,"2,000",First Owner,1199,Manual,2021,18.6,88.76,110,,,20,6.5,Kolkata,,
Chevrolet,Sail LS ABS,Third Party insurance,Diesel,5,"43,000",Second Owner,1248,Manual,2013,22.1,74,190,,,75,1.6,Kolkata,,
Volkswagen,Polo 1.5 TDI Comfortline,Third Party insurance,Diesel,5,"80,000",Second Owner,1498,Manual,2014,20.14,88.8,230,,,75,2.3,Kolkata,,
Mahindra,Scorpio S11,Third Party insurance,Diesel,7,"35,000",First Owner,2179,Manual,2022,15.4,136.78,319,,,15,17.5,Kolkata,,R17
Maruti,Baleno Alpha,Third Party insurance,Petrol,5,"5,000",First Owner,1197,Manual,2023,22.35,88.50,113,,,10,5.85,Kolkata,,16
Maruti,Ertiga VXI ABS,Third Party insurance,Petrol,7,"25,000",First Owner,1373,Manual,2015,16.02,93.7,130,,,75,5.2,Kolkata,,
Maruti,SX4 S Cross Zeta DDiS 200 SH,Comprehensive,Diesel,5,"64,303",First Owner,1248,Manual,2018,25.1,88.5,200,Jun,2018,50,6.32,Kolkata,WB02,R16
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Comprehensive,Petrol,5,"38,807",First Owner,1197,Manual,2019,18.9,81.86,113.75,Jun,2019,40,2.69,Kolkata,WB02,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"13,766",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.96,Kolkata,WB02,
Maruti,Alto K10 VXI AMT,Third Party,Petrol,5,"44,012",First Owner,998,Automatic,2018,23.95,67.05,90,Jun,2018,50,3.45,Kolkata,WB02,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"85,022",First Owner,796,Manual,2014,22.74,47.3,69,Jun,2014,75,1.93,Kolkata,WB24,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"61,389",First Owner,998,Manual,2015,20.51,67.04,90,Jun,2015,75,3.16,Kolkata,WB12,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"42,478",First Owner,998,Manual,2013,18.9,67.1,90,Jun,2013,75,2.84,Kolkata,WB08,14
Maruti,Swift VVT VXI,Third Party,Petrol,5,"21,315",Second Owner,1197,Manual,2014,22,81.80,113,Jun,2014,75,4.02,Kolkata,WB02,
Maruti,Swift VVT VXI,Third Party,Petrol,5,"62,628",First Owner,1197,Manual,2014,22,81.80,113,Jun,2014,75,3.57,Kolkata,WB24,
Renault,Duster 1.5 Petrol RXL,Comprehensive,Petrol,5,"36,846",First Owner,1498,Manual,2017,14.19,104.5,142,Jun,2017,60,5.93,Kolkata,WB26,
Maruti,S-Presso VXI Plus 2019-2022,Comprehensive,Petrol,5,"4,298",First Owner,998,Manual,2019,21.7,65.71,89,Jun,2019,40,4.38,Kolkata,WB02,
Hyundai,i20 Sportz 1.2,Third Party,Petrol,5,"54,612",First Owner,1197,Manual,2015,18.6,81.83,114.7,Jun,2015,75,3.94,Kolkata,WB12,
Tata,Indica Aqua 1.2 Safire BSIV,Third Party insurance,Petrol,5,"70,000",First Owner,1172,Manual,2011,16.6,65 PS at 5500 ,96 Nm at 3000 r,,,75,1.1,Kolkata,N/A,13
Hyundai,i20 Active SX Diesel,Third Party insurance,Diesel,5,"3,200",First Owner,1396,Manual,2018,21.19,88.76,219.66,,,50,6.5,Kolkata,,16
Renault,KWID Climber 1.0 MT Opt,Third Party insurance,Petrol,5,"15,000",First Owner,999,Manual,2021,21.74,67,91,,,20,5.0,Kolkata,,
Maruti,Baleno Alpha,Third Party insurance,Petrol,5,"5,000",First Owner,1197,Manual,2023,22.35,88.50,113,,,10,7.48,Kolkata,N/A,16
Mahindra,XUV300 W4,Third Party insurance,Petrol,5,"10,000",First Owner,1197,Manual,2022,16.82,108.62,200,,,15,8.0,Kolkata,,
Toyota,Etios VD SP,Available,Diesel,5,"1,20,000",First Owner,1364,Manual,2013,23.59,67.04,170,,,75,3.0,Kolkata,,15
Maruti,Baleno Alpha,Third Party insurance,Petrol,5,"5,000",First Owner,1197,Manual,2023,22.35,88.50,113,,,10,7.5,Kolkata,,16
Mitsubishi,Pajero Sport 4X4 Dual Tone,Third Party insurance,Diesel,7,"40,000",First Owner,2477,Manual,2016,13.5,175.56,400,,,70,13.0,Kolkata,,17
Hyundai,Grand i10 Magna,Third Party,Petrol,5,"34,091",Second Owner,1197,Manual,2016,18.9,82,114,Jun,2016,70,3.99,Kolkata,WB02,
Toyota,Etios G,Third Party,Petrol,5,"72,273",First Owner,1496,Manual,2014,16.78,88.73,132,Jun,2014,75,2.69,Kolkata,WB02,15
Hyundai,i20 Asta 1.2,Comprehensive,Petrol,5,"33,678",First Owner,1197,Manual,2014,18.6,81.83,114.7,Jun,2014,75,4.35,Kolkata,WB08,16
Hyundai,i20 Asta 1.2,Third Party,Petrol,5,"40,370",First Owner,1197,Manual,2015,18.6,81.83,114.7,Jun,2015,75,4.44,Kolkata,WB02,16
Hyundai,Grand i10 Magna,Third Party,Petrol,5,"85,871",Second Owner,1197,Manual,2015,18.9,82,114,Jun,2015,75,3.32,Kolkata,WB06,
Mahindra,Marazzo M2 8Str,Comprehensive,Diesel,8,"9,043",First Owner,1497,Manual,2021,17.3,120.96,300,Jun,2021,20,11.11,Kolkata,WB20,
Tata,Tigor XM,Comprehensive,Petrol,5,"51,408",First Owner,1199,Manual,2021,19.28,84.82,113,Jun,2021,20,6.44,Kolkata,WB18,
Toyota,Corolla Altis Diesel D4DG,Third Party,Diesel,5,"43,217",Second Owner,1364,Manual,2013,21.43,87.2,205,Jun,2013,75,4.44,Kolkata,WB06,15
Hyundai,Santro Asta,Third Party,Petrol,5,"40,826",First Owner,1086,Manual,2021,20.3,68.05,99,Jun,2021,20,5.69,Kolkata,WB08,
Hyundai,Elantra 1.6 SX Option AT,Comprehensive,Diesel,5,"78,883",First Owner,1582,Automatic,2016,18.23,126.2,259.88,Jun,2016,70,9.92,Kolkata,WB02,16
Renault,Triber RXL,Third Party,Petrol,7,"8,722",Second Owner,999,Manual,2021,20,71.01,96,Jun,2021,20,5.55,Kolkata,WB24,
Maruti,Swift VXI,Comprehensive,Petrol,5,"46,411",First Owner,1197,Manual,2020,21.21,81.80,113,Jun,2020,30,6.63,Kolkata,WB06,
Maruti,Wagon R VXI Optional,Individual,Petrol,5,"25,000",First Owner,998,Manual,2016,20.51,67.04,90,,,70,4.0,Kolkata,,
Ford,Aspire Ambiente BSIV,Third Party insurance,Petrol,5,"40,000",First Owner,1194,Manual,2019,20.4,94.93,120,,,40,3.5,Kolkata,,
Tata,Hexa XT,Third Party insurance,Diesel,7,"25,000",First Owner,2179,Manual,2018,17.6,153.86,400,,,50,11.0,Kolkata,,17
Maruti,Omni E MPI STD BSIV,Third Party insurance,Petrol,8,"60,000",First Owner,796,Manual,2009,16.8,34.2,59,,,75,1.2,Kolkata,,12
Honda,BR-V Style Edition S,Third Party insurance,Petrol,7,"40,000",First Owner,1497,Manual,2019,15.4,117.3,145,,,40,8.5,Kolkata,,
Mahindra,XUV500 W8 FWD,Third Party insurance,Diesel,7,"40,000",First Owner,2179,Manual,2013,15.1,140,330,,,75,5.0,Kolkata,,17
Hyundai,Creta 1.6 CRDi SX,Available,Diesel,5,"70,000",First Owner,1582,Manual,2016,19.67,126.2,259.9,,,70,8.0,Kolkata,N/A,16
Hyundai,i20 1.2 Asta,Third Party insurance,Petrol,5,"60,000",Second Owner,1197,Manual,2011,17,80 PS at 5200 ,"11.4 kgm at 4,000 r",,,75,2.5,Kolkata,,14
Hyundai,i20 1.2 Spotz,Third Party,Petrol,5,"25,744",First Owner,1197,Manual,2018,18.6,81.83,114.7,Jun,2018,50,6.11,Kolkata,WB08,
Hyundai,i10 Magna 1.1L,Third Party,Petrol,5,"38,982",First Owner,1086,Manual,2015,19.81,68.05,99.04,Jun,2015,75,2.99,Kolkata,WB08,
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"35,113",First Owner,1197,Manual,2014,19.1,85.8,114,Jun,2014,75,3.91,Kolkata,WB02,14
Hyundai,i20 Active 1.2 S,Third Party insurance,Petrol,5,"50,000",First Owner,1197,Manual,2018,17.19,81.86,114.73,,,50,5.35,Kolkata,,16
BMW,X5 4.8is SAV,Third Party insurance,Petrol,5,"40,000",First Owner,4799,Automatic,2009,10.5,,48,,,75,9.0,Kolkata,,19
Volkswagen,Vento 1.5 TDI Highline,Third Party insurance,Diesel,5,"90,000",Third Owner,1498,Manual,2015,20.34,103.2,250,,,75,4.75,Kolkata,,15
Jeep,Compass 2.0 Longitude Option BSIV,Third Party insurance,Diesel,5,"77,000",First Owner,1956,Manual,2018,17.1,170,350,,,50,11.0,Kolkata,,17
Ford,Figo Petrol EXI,Third Party insurance,Petrol,5,"90,000",Second Owner,1196,Manual,2012,15.6,70,102,,,75,1.3,Kolkata,,14
Maruti,Ignis Alpha AMT,Third Party insurance,Petrol,5,"1,000",First Owner,1197,Automatic,2023,20.89,81.80,113,,,10,5.03,Kolkata,N/A,15
Maruti,Swift Dzire VXi,Third Party insurance,Petrol,5,"1,20,000",First Owner,1298,Manual,2008,17.5,85.8,114,,,75,1.0,Kolkata,,14
Maruti,Swift Dzire LDI,Available,Diesel,5,"1,39,000",First Owner,1248,Manual,2013,23.4,74,190,,,75,2.1,Kolkata,,14
Tata,Tigor XM,Third Party insurance,Petrol,5,"70,000",First Owner,1199,Manual,2021,19.28,84.82,113,,,20,5.5,Kolkata,,
Maruti,Alto K10 LXI,Third Party insurance,Petrol,5,"40,000",Second Owner,998,Manual,2014,23.95,67.05,90,,,75,2.5,Kolkata,,
Skoda,Rapid 1.6 MPI AT Ambition Plus Alloy,Third Party insurance,Petrol,5,"25,000",First Owner,1598,Automatic,2014,14.3,103.6,153,,,75,4.0,Kolkata,,14
Honda,Jazz 1.2 SV i VTEC,Third Party insurance,Petrol,5,"60,000",Second Owner,1199,Manual,2018,18.7,88.7,110,,,50,3.85,Kolkata,,
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"1,20,000",Second Owner,1248,Manual,2013,23.4,74,190,,,75,3.5,Kolkata,,14
Hyundai,Xcent 1.2 Kappa AT S Option,Third Party insurance,Petrol,5,"50,000",Second Owner,1197,Automatic,2015,16.9,81.86,113.75,,,75,3.5,Kolkata,,
Hyundai,EON Magna Plus,Third Party insurance,Petrol,5,"40,000",First Owner,814,Manual,2015,21.1,55.2,74.5,,,75,2.5,Kolkata,,
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"10,000",First Owner,796,Manual,2015,22.74,47.3,69,,,75,2.15,Kolkata,,
Hyundai,Alcazar Signature Diesel AT,Third Party insurance,Diesel,6,"5,000",First Owner,1493,Automatic,2022,18.1,113.42,250,,,15,19.5,Kolkata,,18
Mahindra,XUV500 W8 FWD,Comprehensive,Diesel,7,"82,000",First Owner,2179,Manual,2014,15.1,140,330,Mar,2014,75,6.5,Kolkata,WB02,17
Toyota,Glanza G,Third Party insurance,Petrol,5,"5,000",First Owner,1197,Manual,2022,22.35,88.50,113,,,15,8.5,Kolkata,,16
Hyundai,i10 Sportz,Corporate,Petrol,5,"96,000",First Owner,1197,Manual,2010,20.36,78.9,111.8,,,75,1.1,Kolkata,,13
Mahindra,KUV 100 NXT D75 K6 Plus,Third Party insurance,Diesel,6,"50,000",First Owner,1198,Manual,2017,25.32,77,190,,,60,4.0,Kolkata,,14
Toyota,Innova 2.5 V Diesel 7-seater,Third Party insurance,Diesel,7,"1,20,000",Second Owner,2494,Manual,2008,12.8,,20,,,75,6.0,Kolkata,,15
Hyundai,i10 Magna 1.1L,Available,Petrol,5,"50,000",Second Owner,1086,Manual,2013,19.81,68.05,99.04,,,75,1.7,Kolkata,N/A,
Mahindra,KUV 100 NXT G80 K4 Plus,Third Party insurance,Petrol,6,"30,000",First Owner,1198,Manual,2018,18.15,82,115,,,50,3.75,Kolkata,,
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"70,000",First Owner,796,Manual,2018,24.7,47.3,69,,,50,2.03,Kolkata,,
Hyundai,Verna S Plus,Third Party insurance,Petrol,5,"5,000",First Owner,1497,Manual,2022,17.7,113.18,143.8,,,15,9.4,Kolkata,,
Kia,Seltos GTX Plus DCT,Third Party insurance,Petrol,5,"30,000",First Owner,1353,Automatic,2020,16.5,138.08,242,,,30,14.0,Kolkata,,17
Toyota,Etios 2014-2016 G,Available,Petrol,5,"50,000",First Owner,1496,Manual,2016,16.78,88.73,132,,,70,3.15,Kolkata,,
Mahindra,Bolero DI BSIII,Third Party insurance,Diesel,7,"80,000",Second Owner,2523,Manual,2008,13.6,63 HP at 3200 ,180 Nm at 1440-1500r,,,75,2.5,Kolkata,,15
Hyundai,i20 Magna 1.2,Third Party insurance,Petrol,5,"1,10,000",First Owner,1197,Manual,2015,18.6,81.83,114.7,,,75,4.0,Kolkata,,
Maruti,Baleno 1.2 CVT Alpha,Third Party insurance,Petrol,5,"15,000",First Owner,1197,Automatic,2019,21.4,83.1,115,,,40,5.98,Kolkata,,16
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"48,000",First Owner,796,Manual,2018,24.7,47.3,69,,,50,2.0,Kolkata,,
Maruti,Swift Vdi BSIII,Third Party insurance,Diesel,5,"1,20,000",Second Owner,1248,Manual,2007,17.8,75,190 ,,,75,1.5,Kolkata,,14
Maruti,Omni E MPI STD BSIV,Third Party insurance,Petrol,8,"25,000",First Owner,796,Manual,2013,16.8,34.2,59,,,75,1.4,Kolkata,,12
Chevrolet,Cruze LTZ AT,Third Party insurance,Diesel,5,"1,10,000",Second Owner,1991,Automatic,2011,18.1,147.9,327,,,75,3.5,Kolkata,,16
Toyota,Fortuner 4x2 AT,Third Party insurance,Diesel,7,"80,000",Second Owner,2982,Automatic,2013,12.55,168.5,360,,,75,10.0,Kolkata,,17
Hyundai,Aura SX,Third Party insurance,Petrol,5,"40,000",First Owner,1197,Manual,2020,20.5,81.86,113.8,,,30,6.2,Kolkata,N/A,15
Maruti,Swift VVT VXI,Comprehensive,Petrol,5,"26,000",First Owner,1197,Manual,2015,22,81.80,113,Dec,2015,75,3.8,Kolkata,WB08,
Maruti,Swift Dzire VXI 1.2 BS IV,Comprehensive,Petrol,5,"67,000",First Owner,1197,Manual,2016,22,81.80,113,Jun,2016,70,4.5,Kolkata,WB08,
Chevrolet,Beat LS,Available,Petrol,5,"50,000",Second Owner,1199,Manual,2012,18.6,79.4,108,,,75,2.0,Kolkata,,14
Tata,Sumo Gold CX,Third Party insurance,Diesel,7,"1,20,000",First Owner,2956,Manual,2016,15.3,83.83,250,,,70,3.5,Kolkata,,
Maruti,Alto 800 Tour H,Third Party insurance,Petrol,5,"90,000",Second Owner,796,Manual,2019,24.7,47.3,69,,,40,1.7,Kolkata,,
Hyundai,Xcent 1.2 Kappa SX,Third Party insurance,Petrol,5,"50,000",First Owner,1197,Manual,2015,19.1,82,114,,,75,3.5,Kolkata,,14
Tata,Nexon XZ Plus S 2020-2022,Available,Petrol,5,"20,000",First Owner,1199,Manual,2021,17.57,118.36,170,,,20,8.51,Kolkata,,16
Maruti,Ritz VDi,Third Party insurance,Diesel,5,"56,000",First Owner,1248,Manual,2009,21.1,73.9,113,,,75,1.35,Kolkata,,14
Mahindra,Scorpio S5,Third Party insurance,Diesel,7,"80,000",First Owner,2179,Manual,2021,,136.78,319,,,20,14.0,Kolkata,,
Toyota,Land Cruiser VX,Third Party insurance,Diesel,7,"1,49,000",Second Owner,4461,Automatic,2012,11,261.49,650,Apr,2012,75,59.5,Kolkata,WB06,18
Renault,Lodgy 85PS RxL,Comprehensive,Diesel,8,"40,000",First Owner,1461,Manual,2016,21.04,83.8,200,Jan,2016,70,4.7,Kolkata,WB26,
Maruti,Wagon R VXI 1.2 BSIV,Comprehensive,Petrol,5,"51,000",First Owner,1197,Manual,2012,21.5,81.80,113,Jul,2012,75,2.5,Kolkata,WB26,
Hyundai,i20 Sportz 1.2,Comprehensive,Petrol,5,"50,000",First Owner,1197,Manual,2013,18.5,82.85,113.7,Jul,2013,75,3.5,Kolkata,WB02,14
Maruti,Swift VXI BSIV,Comprehensive,Petrol,5,"32,100",First Owner,1197,Manual,2014,22,81.80,113,Sept,2014,75,3.85,Kolkata,WB02,
Maruti,Swift AMT VXI BSIV,Comprehensive,Petrol,5,"15,171",First Owner,1197,Automatic,2019,22,81.80,113,Dec,2019,40,5.75,Kolkata,WB06,
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"41,996",First Owner,998,Manual,2015,20.51,67.04,90,Aug,2015,75,2.65,Kolkata,WB20,
Honda,WR-V i-VTEC S,Comprehensive,Petrol,5,"25,000",First Owner,1199,Manual,2017,17.5,88.7,110,Jun,2017,60,4.8,Kolkata,WB12,16
Honda,WR-V 2020-2023 VX,Comprehensive,Petrol,5,650,First Owner,1199,Manual,2023,16.5,88.50,110,Mar,2023,10,10.1,Kolkata,WB12,16
Hyundai,Verna SX IVT Opt,Comprehensive,Petrol,5,"4,000",First Owner,1497,Automatic,2021,18.45,113.18,143.8,Dec,2021,20,11.75,Kolkata,WB02,16
Hyundai,Xcent 1.2 Kappa SX Option,Comprehensive,Petrol,5,"52,137",First Owner,1197,Manual,2014,19.1,82,114,Jun,2014,75,3.1,Kolkata,WB06,15
Maruti,Swift VDI,Comprehensive,Diesel,5,"42,008",First Owner,1248,Manual,2014,28.4,74,190,Sept,2014,75,3.41,Kolkata,WB20,
Maruti,Swift VXI,Comprehensive,Petrol,5,"46,021",Second Owner,1197,Manual,2014,18.6,85.8,114,Aug,2014,75,3.35,Kolkata,WB02,14
Hyundai,i10 Sportz,Comprehensive,Petrol,5,"46,008",First Owner,1197,Manual,2014,20.36,78.9,111.8,Jan,2014,75,2.65,Kolkata,WB02,13
Hyundai,EON D Lite Plus,Comprehensive,Petrol,5,"31,021",First Owner,814,Manual,2014,21.1,55.2,74.5,Jun,2014,75,2.05,Kolkata,WB20,
Maruti,Ertiga 1.5 VDI,Comprehensive,Diesel,7,"52,002",First Owner,1498,Manual,2016,24.2,93.87,225,Jul,2016,70,6.9,Kolkata,WB24,
Mercedes-Benz,GLC 220d 4MATIC Sport,Comprehensive,Diesel,5,"51,232",First Owner,2143,Automatic,2017,17.9,170,400,Sept,2017,60,27.5,Kolkata,OD33,18
Chevrolet,Sail 1.2 LS,Third Party insurance,Petrol,5,"24,000",First Owner,1199,Manual,2013,18.2,82.4,108.5,Apr,2013,75,1.89,Kolkata,WB22,
Skoda,New Laura Ambition 2.0 TDI CR MT,Third Party,Diesel,5,"75,000",First Owner,1968,Manual,2013,20,108.5,250,Jun,2013,75,3.25,Kolkata,WB02,16
Ford,Ecosport 1.5 Petrol Trend BSIV,Comprehensive,Petrol,5,"59,200",First Owner,1497,Manual,2016,17,121.36,150,May,2016,70,4.65,Kolkata,WB02,
Hyundai,i20 1.2 Magna Executive,Comprehensive,Petrol,5,"31,060",First Owner,1197,Manual,2017,18.6,81.83,114.7,Sept,2017,60,4.9,Kolkata,WB02,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Comprehensive,Petrol,5,"36,000",First Owner,1197,Manual,2018,18.9,81.86,113.75,Sept,2018,50,3.9,Kolkata,WB20,
Volkswagen,Vento 2013-2015 1.6 Comfortline,Third Party,Petrol,5,"60,000",First Owner,1598,Manual,2013,15.04,103.2,153,Apr,2013,75,2.75,Kolkata,WB02,
Chevrolet,Sail Hatchback 1.2 LS,Third Party insurance,Petrol,5,"65,000",First Owner,1199,Manual,2014,18.2,82.5,108.5,Apr,2014,75,1.99,Kolkata,WB12,
Toyota,Innova Crysta 2.4 G MT,Third Party insurance,Diesel,7,"45,000",First Owner,2393,Manual,2018,13.68,147.51,343,Oct,2018,50,15.5,Kolkata,WB02,16
Maruti,Ciaz AT ZXi,Comprehensive,Petrol,5,"43,000",First Owner,1373,Automatic,2015,19.12,91.1,130,Mar,2015,75,5.25,Kolkata,WB02,15
Honda,City V MT,Comprehensive,Petrol,5,"65,000",First Owner,1497,Manual,2013,16.8,116.3,146,Mar,2013,75,3.5,Kolkata,WB02,15
Maruti,Swift 1.3 VXi,Comprehensive,Petrol,5,"37,000",First Owner,1298,Manual,2010,16.1,8,11,Sept,2010,75,1.75,Kolkata,WB06,14
Mercedes-Benz,E-Class Exclusive E 220 d BSIV,Third Party insurance,Diesel,5,"6,700",First Owner,1950,Automatic,2019,16.1,191.7,400,Aug,2019,40,54.0,Kolkata,WB02,17
Tata,Punch Creative IRA,Third Party insurance,Petrol,5,"9,100",,1199,Manual,2021,20.09,117.74,115,,,20,7.2,Kolkata,,16
Mercedes-Benz,C-Class Progressive C 220d,Comprehensive,Diesel,5,"3,560",First Owner,1950,Automatic,2021,12.6,194,400,Mar,2021,20,39.2,Kolkata,WB02,17
Renault,Duster Petrol RxL,Comprehensive,Petrol,5,"57,000",First Owner,1598,Manual,2014,13.24,102.57,145,Jan,2014,75,3.75,Kolkata,WB02,16
Toyota,Etios 2014-2016 GD,Comprehensive,Diesel,5,"67,000",Second Owner,1364,Manual,2016,23.59,67.05,170,Aug,2016,70,4.8,Kolkata,WB02,
Honda,Jazz S,Comprehensive,Petrol,5,"69,000",First Owner,1198,Manual,2011,16,90(,110 (11.,May,2011,75,2.1,Kolkata,WB06,15
Mahindra,XUV300 W6,Comprehensive,Petrol,5,"53,470",First Owner,1197,Manual,2019,17,108.6,200,Jul,2019,40,6.55,Kolkata,WB02,
Nissan,Micra Active XV,Comprehensive,Petrol,5,"16,937",First Owner,1198,Manual,2017,19.69,67.04,104,Dec,2017,60,3.25,Kolkata,WB02,
Honda,Accord 2.4 MT,Comprehensive,Petrol,5,"63,000",First Owner,2354,Manual,2009,12.8,177.6,222,Mar,2009,75,2.5,Kolkata,WB06,16
Honda,City i VTEC CVT VX,Comprehensive,Petrol,5,"41,000",First Owner,1497,Automatic,2017,18,117.3,145,Mar,2017,60,7.5,Kolkata,WB02,15
Honda,City EXi,Comprehensive,Petrol,5,"85,000",Second Owner,1497,Manual,2008,17.7,,12,Jul,2008,75,1.1,Kolkata,WB06,14
Honda,Amaze EX i-Vtech,Comprehensive,Petrol,5,"48,000",First Owner,1198,Manual,2013,18,86.7,109,Oct,2013,75,2.3,Kolkata,WB02,
Hyundai,Verna 1.6 CRDi EX MT,Comprehensive,Diesel,5,"52,024",First Owner,1582,Manual,2014,22.32,126.3,259.9,Mar,2014,75,4.15,Kolkata,WB02,15
Maruti,Vitara Brezza ZDi,Comprehensive,Diesel,5,"52,004",First Owner,1248,Manual,2017,24.3,88.5,200,Nov,2017,60,6.65,Kolkata,WB02,16
Mahindra,Bolero Neo N10 R,Comprehensive,Diesel,7,"10,021",First Owner,1493,Manual,2022,17.29,100,260,Jul,2022,15,10.35,Kolkata,WB08,15
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"48,002",First Owner,1197,Manual,2016,21.4,83.1,115,Sept,2016,70,4.49,Kolkata,WB02,
Maruti,Celerio ZXI,Third Party insurance,Petrol,5,"50,529",First Owner,998,Manual,2017,21.63,67.05,90,Mar,2017,60,3.75,Kolkata,WB08,
Mahindra,Thar LX 4-Str Convert Top Diesel,Comprehensive,Diesel,4,"25,134",First Owner,2184,Manual,2020,15.2,130,300,Dec,2020,30,13.5,Kolkata,WB02,18
Maruti,Omni MPI STD BSIV,Comprehensive,Petrol,5,"28,423",First Owner,796,Manual,2017,16.8,34.2,59,Jan,2017,60,2.25,Kolkata,WB98,12
Hyundai,Verna SX Opt,Comprehensive,Petrol,5,"7,219",First Owner,1497,Manual,2022,17.7,113.18,143.8,Jan,2022,15,12.6,Kolkata,WB02,16
Hyundai,Santro Xing GLS,Comprehensive,Petrol,5,"60,014",Second Owner,1086,Manual,2014,17.92,62.1,96.1,Jan,2014,75,1.75,Kolkata,WB06,13
Hyundai,Grand i10 Sportz,Comprehensive,Petrol,5,"44,024",First Owner,1197,Manual,2016,18.9,82,114,Jan,2016,70,3.65,Kolkata,WB02,
Mahindra,XUV500 W11 BSIV,Comprehensive,Diesel,7,"64,000",First Owner,2179,Manual,2018,15.1,152.87,360,Jun,2018,50,11.0,Kolkata,WB08,17
Maruti,Alto 800 LXI,Third Party,Petrol,5,"36,166",First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,2.73,Kolkata,WB02,
Hyundai,Verna VTVT 1.6 AT SX Option,Comprehensive,Petrol,5,"21,000",First Owner,1591,Automatic,2019,17,121.3,151,May,2019,40,8.0,Kolkata,WB08,16
Hyundai,Verna 1.6 VTVT S Option,Comprehensive,Petrol,5,"42,000",First Owner,1591,Manual,2015,17.01,121.4,154.9,Jun,2015,75,4.25,Kolkata,WB02,16
Hyundai,i20 Sportz 1.2,Comprehensive,Petrol,5,"73,000",Second Owner,1197,Manual,2016,18.6,81.83,114.7,Dec,2016,70,3.75,Kolkata,WB08,
Hyundai,i10 Era 1.1,Comprehensive,Petrol,5,"45,000",First Owner,1086,Manual,2010,19.81,68.05,99.04,Aug,2010,75,1.5,Kolkata,WB06,
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,927,First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.69,Kolkata,WB02,
Hyundai,i10 Sportz,Comprehensive,Petrol,5,"66,000",Third Owner,1197,Manual,2014,20.36,78.9,111.8,Jun,2014,75,2.0,Kolkata,WB12,13
BMW,3 Series 320d Sport Line,Comprehensive,Diesel,5,"40,000",First Owner,1995,Automatic,2013,18.88,184,380,Jan,2013,75,12.45,Kolkata,WB02,17
Hyundai,Elantra 2.0 SX,Comprehensive,Petrol,5,"40,040",First Owner,1999,Manual,2017,14.59,149.92,192.2,Jan,2017,60,7.25,Kolkata,WB02,16
Mitsubishi,Pajero Sport 4X4,Comprehensive,Diesel,7,"65,000",First Owner,2477,Manual,2013,13.5,175.56,400,Mar,2013,75,10.45,Kolkata,WB02,17
Ford,Ecosport 1.5 Ti VCT MT Titanium BSIV,Third Party insurance,Petrol,5,"47,555",First Owner,1499,Manual,2016,15.85,110.4,140,Jan,2017,70,5.45,Kolkata,WB02,16
Skoda,Rapid 1.6 MPI Style BSIV,Comprehensive,Petrol,5,"32,000",First Owner,1598,Manual,2017,14.3,103.2,153,Jan,2017,60,5.75,Kolkata,WB02,16
Hyundai,Santro Xing GL,Comprehensive,Petrol,5,"40,000",First Owner,1086,Manual,2008,,62,96.1,Sept,2008,75,1.0,Kolkata,WB06,13
Audi,A6 35 TFSI,Comprehensive,Petrol,5,"37,000",First Owner,1798,Automatic,2016,15.26,187.74,320,Sept,2016,70,21.0,Kolkata,WB02,17
Maruti,Wagon R VXI,Comprehensive,Petrol,5,"40,000",First Owner,998,Manual,2013,18.9,67.1,90,Jul,2013,75,2.77,Kolkata,WB22,13
Maruti,Wagon R VXI,Comprehensive,Petrol,5,"10,800",First Owner,998,Manual,2016,21.79,67.05,90,Jun,2016,70,3.0,Kolkata,WB08,
Hyundai,Verna VTVT 1.6 SX,Comprehensive,Petrol,5,"35,000",First Owner,1591,Manual,2018,17,121.3,151,Jul,2018,50,6.79,Kolkata,WB10,16
Renault,Scala Diesel RxZ,Third Party,Diesel,5,"14,294",First Owner,1461,Manual,2013,21.64,84.8,200,Apr,2013,75,3.35,Kolkata,WB02,15
Hyundai,Tucson GLS Diesel AT,Comprehensive,Diesel,5,"14,000",First Owner,1995,Automatic,2021,15.38,182.37,400,Aug,2021,20,24.0,Kolkata,WB08,R18
