Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Mileage (in kmpl)
Hyundai,i20 Sportz Plus CVT,Third Party,Petrol,5,"75,806",TS12,First Owner,1197,Automatic,2020,81.86,117,15,Jun,2020,30,8.95,Bangalore,17.4
Maruti,Wagon R VXI Optional,Comprehensive,Petrol,5,"25,136",TS08,First Owner,998,Manual,2018,67.04,90,,Jun,2018,50,4.79,Bangalore,20.51
Maruti,XL6 Alpha AT,Comprehensive,Petrol,6,"80,529",TS07,First Owner,1462,Automatic,2019,103.2,138,R15,Jun,2019,40,10.77,Bangalore,17.99
Tata,Altroz XZ Plus Turbo,Third Party,Petrol,5,"15,394",TS10,First Owner,1199,Manual,2021,108.48,140,16,Jun,2021,20,9.89,Bangalore,18.05
Tata,Altroz XZ,Third Party,Petrol,5,"36,243",TS01,First Owner,1199,Manual,2020,86.83,113,16,Jun,2020,30,7.91,Bangalore,19.33
Hyundai,EON Sportz,Third Party,Petrol,5,"44,638",TS08,First Owner,814,Manual,2018,55.2,74.5,,Jun,2018,50,3.41,Bangalore,21.1
Maruti,Alto K10 VXI,Third Party,Petrol,5,"35,344",TS08,First Owner,998,Manual,2018,67.05,90,,Jun,2018,50,4.18,Bangalore,23.95
Renault,KWID Climber 1.0 AMT,Third Party,Petrol,5,"34,348",TS07,Second Owner,999,Automatic,2018,67,91,,Jun,2018,50,4.46,Bangalore,24.04
Renault,KWID RXL,Third Party,Petrol,5,"43,621",TS10,First Owner,799,Manual,2017,53.3,72,,Jun,2017,60,3.35,Bangalore,25.17
Hyundai,Grand i10 Asta Option AT,Third Party insurance,Petrol,5,"55,050",TS09,First Owner,1197,Automatic,2015,82,114,14,Sept,2015,75,5.75,Bangalore,18.9
Maruti,Swift Dzire 1.2 Vxi BSIV,Not Available,Petrol,5,"41,423",AP10,First Owner,1197,Manual,2012,85.8,114,14,May,2012,75,4.0,Bangalore,17.5
Maruti,Wagon R AMT VXI,Third Party insurance,Petrol,5,"49,581",TS08,First Owner,998,Automatic,2017,67,90,,Jul,2017,60,5.4,Bangalore,20.51
Honda,Amaze S i-Vtech,Third Party,Petrol,5,"60,074",TS09,First Owner,1198,Manual,2015,86.7,109,,Mar,2015,75,4.14,Bangalore,18
Maruti,Wagon R LXI CNG,Third Party insurance,CNG,5,"97,257",AP11,First Owner,998,Manual,2011,58.2,77,13,May,2011,75,2.9,Bangalore,26.2
Maruti,Baleno Delta,Not Available,Petrol,5,"47,904",TS08,First Owner,1197,Manual,2020,81.80,113,,Sept,2020,30,5.8,Bangalore,21.01
Volkswagen,Polo 1.2 MPI Comfortline,Third Party insurance,Petrol,5,"65,269",TS09,First Owner,1198,Manual,2019,74,110,,Jun,2019,40,6.4,Bangalore,16.47
Honda,City i DTEC V,Not Available,Diesel,5,"1,17,961",AP10,First Owner,1498,Manual,2014,98.6,200,15,May,2014,75,5.5,Bangalore,26
Maruti,Alto 800 VXI,Third Party,Petrol,5,"36,391",TS09,First Owner,796,Manual,2019,47.33,69,,Jun,2019,40,3.85,Bangalore,22.05
Maruti,Wagon R VXI Optional,Comprehensive,Petrol,5,"28,391",TS16,First Owner,998,Manual,2018,67.04,90,,Jun,2018,50,4.93,Bangalore,20.51
Tata,Nexon XM,Third Party,Petrol,5,"41,893",TS36,First Owner,1199,Manual,2020,118.35,170,,Jun,2020,30,8.04,Bangalore,17.33
Renault,KWID RXT,Third Party,Petrol,5,"48,464",TS10,Second Owner,799,Manual,2018,53.3,72,,Jun,2018,50,3.43,Bangalore,25.17
Maruti,Swift AMT VXI,Third Party,Petrol,5,"48,635",TS07,First Owner,1197,Automatic,2018,81.80,113,,Jun,2018,50,6.85,Bangalore,21.21
Maruti,Ignis 1.2 Sigma BSIV,Comprehensive,Petrol,5,"63,992",TS07,Second Owner,1197,Manual,2017,81.80,113,,Jun,2017,60,4.07,Bangalore,20.89
Hyundai,Grand i10 Nios Sportz,Third Party,Petrol,5,"39,987",TS08,First Owner,1197,Manual,2020,81.86,113.8,14,Jun,2020,30,6.65,Bangalore,20.7
Volkswagen,Tiguan 2.0 TDI Highline,Comprehensive,Diesel,5,"92,456",TS07,First Owner,1968,Automatic,2018,141,340,18,Jun,2018,50,20.98,Bangalore,16.65
Maruti,Ciaz 1.4 AT Zeta,Third Party insurance,Petrol,5,"65,956",TS09,First Owner,1373,Automatic,2018,91.1,130,15,Aug,2018,50,8.25,Bangalore,19.12
BMW,X1 sDrive20d,Comprehensive,Diesel,5,"1,06,708",AP09,First Owner,1995,Automatic,2014,184,380,17,May,2014,75,14.36,Bangalore,17.05
Tata,Nexon 1.5 Revotorq XM,Individual,Diesel,5,"1,00,000",,First Owner,1497,Manual,2018,108.5,260,,,,50,6.65,Bangalore,21.5
Hyundai,Verna CRDi 1.6 SX Option,Third Party insurance,Diesel,5,"76,000",N/A,First Owner,1582,Manual,2018,126.2,259.87,16,,,50,10.5,Bangalore,22
