Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Maruti,Swift Dzire AMT VXI BS IV,Comprehensive,Petrol,5,"89,306",KA51,First Owner,1197,Automatic,2017,22,81.80,113,,Jun,2017,60,5.81,Bangalore
Hyundai,Verna 1.6 SX VTVT,Third Party,Petrol,5,"52,194",KA20,First Owner,1591,Manual,2017,17.01,121.3,154.9,16,Jun,2017,60,8.01,Bangalore
BMW,3 Series 320d Edition Sport,Comprehensive,Diesel,5,"68,000",KA05,Second Owner,1995,Automatic,2017,22.69,187.74,400,18,Jul,2017,60,26.75,Bangalore
Mahindra,NuvoSport N8,Third Party insurance,Diesel,7,"1,20,000",,First Owner,1493,Manual,2017,17.45,100,240,16,,,60,5.0,Bangalore
Honda,Amaze SX i-VTEC,Comprehensive,Petrol,5,"87,059",KA04,First Owner,1198,Manual,2014,18,86.7,109,,Aug,2014,75,3.95,Bangalore
Audi,A4 35 TDI Premium Plus,Comprehensive,Diesel,5,"70,000",KA19,Second Owner,1968,Automatic,2016,18.25,187.74,400,17,Jan,2017,70,24.75,Bangalore
Volkswagen,Polo GT TSI,Comprehensive,Petrol,5,"63,000",KA01,First Owner,1197,Automatic,2018,17.21,103.5,175,16,Jan,2018,50,9.45,Bangalore
Mahindra,Ssangyong Rexton RX7,Comprehensive,Diesel,7,"62,000",KA19,First Owner,2696,Automatic,2013,11.18,184,402,16,Jan,2013,75,9.75,Bangalore
Toyota,Innova 2.5 VX 7 STR,Third Party insurance,Diesel,7,"2,35,000",,Fourth Owner,2494,Manual,2012,12.8,,20,15,,,75,7.5,Bangalore
Audi,A8 L 50 TDI Quattro Premium Plus,Comprehensive,Diesel,4,"27,000",KA02,First Owner,2967,Automatic,2016,16.77,246.74,580,18,May,2016,70,50.5,Bangalore
Maruti,Swift Dzire AMT ZXI Plus,Third Party,Petrol,5,"93,205",KA03,First Owner,1197,Automatic,2017,21.21,81.80,113,15,Jun,2017,60,6.34,Bangalore
Mahindra,TUV 300 T8,Third Party,Diesel,7,"61,157",KA01,First Owner,1493,Manual,2016,18.49,100,240,15,Jun,2016,70,7.93,Bangalore
Hyundai,i20 Asta 1.2,Third Party,Petrol,5,"35,641",KA51,First Owner,1197,Manual,2016,18.6,81.83,114.7,16,Jun,2016,70,7.67,Bangalore
Hyundai,Elantra 2.0 SX AT,Comprehensive,Petrol,5,"26,830",KA03,First Owner,1999,Automatic,2018,14.62,149.92,192.2,16,Jun,2018,50,13.59,Bangalore
Maruti,Swift Dzire AMT VXI,Third Party,Petrol,5,"42,564",KA05,First Owner,1197,Automatic,2018,21.21,81.80,113,,Jun,2018,50,7.27,Bangalore
Maruti,Swift VXI,Third Party,Petrol,5,"39,674",KA01,First Owner,1197,Manual,2015,21.21,81.80,113,,Jun,2015,75,5.51,Bangalore
Hyundai,i20 Active 1.2 SX,Third Party,Petrol,5,"22,190",KA05,First Owner,1197,Manual,2017,17.19,81.86,114.73,16,Jun,2017,60,6.98,Bangalore
Renault,Captur 1.5 Diesel RXT,Third Party,Diesel,5,"44,732",KA05,First Owner,1461,Manual,2018,20.37,108.45,240,R17,Jun,2018,50,8.63,Bangalore
Hyundai,Santro Asta BSIV,Third Party,Petrol,5,"8,341",KA05,First Owner,1086,Manual,2019,20.3,68,99,,Jun,2019,40,5.56,Bangalore
Maruti,Alto 800 LXI,Third Party,Petrol,5,"88,470",KA05,First Owner,796,Manual,2014,22.74,47.3,69,,Jun,2014,75,2.47,Bangalore
Hyundai,Santro Sportz,Comprehensive,Petrol,5,"23,544",KL65,Second Owner,1086,Manual,2020,20.3,68.05,99,,Jun,2020,30,5.09,Bangalore
Maruti,Ciaz AT ZXi Plus,Third Party,Petrol,5,"50,471",KA03,First Owner,1373,Automatic,2016,19.12,91.1,130,16,Jun,2016,70,7.52,Bangalore
Hyundai,Creta SX,Third Party,Petrol,5,"23,126",KA04,First Owner,1497,Manual,2020,,113.18,143.8,17,Jun,2020,30,15.75,Bangalore
Mercedes-Benz,C-Class Progressive C 220d,Comprehensive,Diesel,5,"20,000",KA51,First Owner,1950,Automatic,2020,12.6,194,400,17,Jan,2020,30,46.5,Bangalore
Hyundai,Venue SX Turbo,Comprehensive,Petrol,5,"17,884",KA51,First Owner,998,Manual,2020,18.27,118.35,172,,Feb,2020,30,10.55,Bangalore
Lexus,NX 300h Luxury,Comprehensive,Petrol,5,"37,000",KA05,First Owner,2499,Automatic,2018,18.32,194.37,210,18,May,2018,50,45.5,Bangalore
BMW,5 Series 525d,Comprehensive,Diesel,5,"89,000",KA51,Second Owner,1995,Automatic,2011,16.73,218,450,17,Jan,2011,75,13.75,Bangalore
