Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
Hyundai,Third Party,Petrol,5,60000.0,Third or More Owners,1197,Manual,20.36,78.9,13,Jun,2018,2.5,Bangalore
Others,Third Party,Petrol,5,48392.0,Second Owner,1368,Manual,14.6,112.0,16,Oct,2012,1.5,Ahmedabad
Mercedes-Benz,Third Party,Diesel,5,106000.0,First Owner,2143,Automatic,14.84,170.0,16,Sept,2011,11.25,Hyderabad
Honda,Comprehensive,Petrol,5,58000.0,First Owner,1198,Manual,16.7,88.8,15,Oct,2012,2.5,Kolkata
Ford,Not Available,Diesel,5,105863.0,First Owner,1399,Manual,20.0,68.0,14,Dec,2012,1.75,Bangalore
Maruti,Not Available,Petrol,5,19813.0,First Owner,1462,Manual,18.55,103.25,16,Nov,2020,9.0,Jaipur
Hyundai,Third Party,Diesel,5,69090.0,Second Owner,1582,Automatic,22.32,126.32,16,Jun,2014,6.75,Bangalore
Toyota,Third Party,Diesel,7,149000.0,Second Owner,4461,Automatic,11.0,261.49,18,Apr,2012,59.5,Kolkata
Hyundai,Third Party,Petrol,5,61181.0,First Owner,1197,Manual,18.9,82.0,16,Jun,2015,3.78,Kolkata
Others,Not Available,Diesel,5,82043.0,First Owner,936,Manual,25.44,57.6,14,Jan,2012,1.37,Jaipur
Skoda,Not Available,Diesel,5,115581.0,Second Owner,1498,Automatic,21.66,103.6,15,Apr,2015,3.12,Delhi
Mahindra,Third Party,Diesel,7,89549.0,First Owner,2179,Automatic,16.0,140.0,17,Jun,2017,12.98,Bangalore
Skoda,Third Party,Petrol,5,37962.0,First Owner,1798,Automatic,14.67,177.46,17,Oct,2018,24.07,Bangalore
Maruti,Comprehensive,Diesel,5,92313.0,Second Owner,1248,Manual,23.4,74.0,14,Dec,2013,3.36,Ahmedabad
Volkswagen,Third Party,Petrol,5,15000.0,First Owner,999,Manual,17.74,75.1,15,Jun,2019,4.7,Kolkata
Renault,Comprehensive,Petrol,5,36926.0,Second Owner,1498,Automatic,14.99,104.5,16,Jun,2019,9.14,Bangalore
BMW,Third Party,Diesel,5,28000.0,Second Owner,1995,Automatic,22.69,190.0,16,Oct,2016,19.75,Jaipur
Maruti,Third Party,Petrol,5,57085.0,Second Owner,1197,Manual,21.4,83.1,16,Jun,2016,4.96,Delhi
Mahindra,Not Available,Diesel,7,106673.0,First Owner,2498,Manual,14.0,101.59817658967516,15,Mar,2011,2.45,Ahmedabad
Skoda,Third Party,Petrol,5,30000.0,Second Owner,1598,Manual,15.0,103.5,14,Jun,2018,3.2,Mumbai
Honda,Third Party,Petrol,5,96695.0,First Owner,1497,Automatic,17.4,117.6,16,Jun,2019,9.99,Hyderabad
Honda,Third Party,Petrol,5,30624.0,First Owner,1198,Manual,18.5,86.8,14,Jun,2016,4.92,Bangalore
Renault,Third Party,Diesel,5,63666.0,First Owner,1461,Manual,19.87,83.8,16,May,2016,5.5,Ahmedabad
Toyota,Comprehensive,Petrol,5,37615.0,Second Owner,1496,Automatic,17.8,105.94,15,Jan,2020,11.6,Bangalore
Hyundai,Third Party,Petrol,5,73980.0,Third or More Owners,1197,Manual,17.0,101.59817658967516,14,Jun,2012,3.9,Bangalore
Tata,Third Party,Petrol,5,32210.0,First Owner,1199,Manual,19.33,86.83,16,Jun,2020,7.55,Delhi
Hyundai,Third Party,Diesel,5,120000.0,First Owner,1396,Manual,23.0,101.59817658967516,14,Jun,2018,4.0,Bangalore
Skoda,Not Available,Diesel,5,91965.0,Second Owner,1968,Automatic,17.0,14.0,16,Jun,2012,5.97,Hyderabad
Maruti,Not Available,Petrol,5,55976.0,Second Owner,1197,Manual,21.21,81.8,16,Sept,2017,5.5,Ahmedabad
Hyundai,Third Party,Diesel,5,50476.0,First Owner,1396,Manual,22.54,88.73,16,Aug,2017,5.61,Ahmedabad
Toyota,Not Available,Diesel,7,33628.0,First Owner,2393,Manual,13.68,147.8,16,May,2017,15.0,Hyderabad
Maruti,Third Party,Diesel,5,50343.0,First Owner,1248,Automatic,24.3,88.5,16,Jun,2018,8.52,Delhi
Maruti,Comprehensive,Diesel,5,30333.0,First Owner,1248,Manual,24.3,88.5,16,Jun,2017,8.45,Bangalore
Honda,Third Party,Petrol,5,57000.0,First Owner,1198,Manual,19.4,86.8,14,Jul,2015,3.85,Mumbai
Toyota,Third Party,Diesel,7,115000.0,Second Owner,2982,Manual,13.0,168.5,17,Mar,2012,12.5,Mumbai
Toyota,Comprehensive,Petrol,5,21000.0,First Owner,1462,Manual,17.03,103.26,16,May,2022,8.75,Kolkata
Maruti,Third Party,Petrol,5,16038.0,First Owner,1462,Manual,21.56,103.25,16,Jan,2020,10.0,Bangalore
Maruti,Third Party,Petrol,5,52818.0,First Owner,1462,Manual,21.56,103.25,16,Jun,2018,8.67,Delhi
Toyota,Comprehensive,Diesel,5,96000.0,Second Owner,1364,Manual,23.59,67.04,15,Mar,2013,4.15,Jaipur
Volkswagen,Third Party,Diesel,5,116283.0,First Owner,1598,Manual,20.54,103.6,15,May,2011,3.45,Hyderabad
Hyundai,Not Available,Petrol,5,83008.0,First Owner,1197,Manual,18.6,81.83,16,Mar,2017,5.5,Delhi
Maruti,Comprehensive,Petrol,5,3900.0,First Owner,998,Manual,25.24,65.71,16,Apr,2022,6.35,Mumbai
Hyundai,Third Party,Petrol,5,17375.0,First Owner,1197,Manual,17.19,81.86,16,Jun,2017,5.94,Kolkata
Hyundai,Third Party,Diesel,5,70000.0,Second Owner,1120,Manual,24.0,70.0,16,Mar,2017,3.75,Kolkata
Hyundai,Comprehensive,Petrol,5,14862.0,First Owner,1497,Manual,17.7,113.18,16,Jun,2021,13.34,Hyderabad
Mercedes-Benz,Comprehensive,Diesel,5,98000.0,First Owner,2143,Automatic,17.9,201.15,19,Sept,2016,35.9,Delhi
Volkswagen,Not Available,Diesel,5,223967.0,First Owner,1598,Manual,20.54,103.6,15,Nov,2013,3.21,Jaipur
Others,Not Available,Petrol,5,1569.0,First Owner,1498,Manual,15.43,108.49,17,Feb,2023,15.0,Ahmedabad
Ford,Comprehensive,Petrol,5,69388.0,First Owner,1499,Manual,15.8,110.0,16,Sept,2013,3.65,Mumbai
Others,Third Party,Diesel,5,66259.0,First Owner,1968,Manual,17.32,138.13,16,Jan,2016,9.0,Ahmedabad
Hyundai,Comprehensive,Petrol,5,36000.0,First Owner,1086,Manual,17.92,62.1,13,Nov,2013,2.35,Delhi
Maruti,Third Party,Petrol,5,556.0,First Owner,796,Manual,22.05,47.33,16,Jun,2022,4.77,Bangalore
Hyundai,Third Party,Petrol,5,9932.0,Second Owner,1197,Manual,17.52,81.86,16,Jun,2021,9.14,Bangalore
Volkswagen,Third Party,Diesel,5,99300.0,Second Owner,1498,Manual,20.14,88.0,15,Jun,2018,5.8,Hyderabad
Toyota,Comprehensive,Petrol,5,11683.0,First Owner,1197,Manual,21.01,81.8,16,Jun,2019,7.18,Pune
Hyundai,Comprehensive,Petrol,5,26072.0,First Owner,1197,Manual,18.6,81.86,16,Jun,2018,7.41,Bangalore
Renault,Not Available,Diesel,5,58337.0,Second Owner,1461,Manual,20.45,83.8,16,Jun,2014,3.61,Delhi
Maruti,Not Available,Petrol,5,16344.0,First Owner,998,Automatic,23.1,67.04,16,Jun,2017,4.5,Jaipur
Ford,Others,Petrol,5,19266.0,First Owner,1194,Manual,19.0,94.68,15,Jun,2018,7.03,Bangalore
Tata,Third Party,Petrol,5,9288.0,First Owner,1199,Manual,19.33,86.83,16,Jun,2021,6.95,Kolkata
Maruti,Third Party,Petrol,5,60000.0,First Owner,1197,Manual,22.41,88.5,16,Jun,2018,7.0,Mumbai
Maruti,Not Available,Diesel,7,89453.0,First Owner,1248,Manual,24.52,88.5,16,Dec,2015,5.35,Delhi
Toyota,Comprehensive,Diesel,7,33906.0,First Owner,2755,Automatic,19.43998454264412,201.15,18,Feb,2021,41.0,Ahmedabad
Maruti,Third Party,Petrol,5,3878.0,Second Owner,1197,Manual,20.52,81.8,16,Jun,2021,6.06,Mumbai
Renault,Third Party,Diesel,5,110000.0,Second Owner,1461,Manual,20.45,83.8,16,Jun,2018,3.0,Pune
Hyundai,Third Party,Petrol,5,60000.0,Second Owner,1086,Manual,17.0,101.59817658967516,13,Jun,2018,2.3,Hyderabad
Hyundai,Third Party,Petrol,5,39522.0,Second Owner,1197,Manual,18.6,81.83,16,Jun,2016,4.23,Kolkata
Renault,Comprehensive,Petrol,5,53819.0,First Owner,799,Manual,25.17,53.3,16,Nov,2015,2.0,Jaipur
Hyundai,Third Party,Petrol,5,17255.0,Second Owner,1197,Manual,18.9,81.86,16,Jun,2017,4.66,Mumbai
Honda,Third Party,Petrol,5,81042.0,First Owner,1497,Manual,16.8,116.3,15,Jun,2012,3.15,Kolkata
Renault,Not Available,Petrol,5,59709.0,Third or More Owners,799,Manual,25.17,53.3,16,May,2016,2.56,Hyderabad
Mahindra,Third Party,Diesel,4,17179.0,First Owner,2184,Manual,15.2,130.0,18,Jun,2021,15.51,Delhi
Volkswagen,Comprehensive,Petrol,5,54000.0,First Owner,1197,Automatic,17.21,103.6,15,May,2015,6.45,Mumbai
Ford,Comprehensive,Petrol,5,34137.0,Second Owner,1497,Manual,17.0,121.36,17,Jun,2018,9.35,Delhi
Honda,Not Available,Diesel,5,98250.0,First Owner,1498,Manual,25.8,98.6,16,Jun,2013,2.75,Jaipur
Hyundai,Comprehensive,Diesel,5,42339.0,First Owner,1186,Manual,26.2,73.97,15,Jun,2019,6.52,Delhi
Volkswagen,Not Available,Diesel,5,98414.0,Third or More Owners,1199,Manual,22.07,73.9,15,Aug,2011,2.5,Bangalore
Hyundai,Third Party,Petrol,5,50000.0,First Owner,1197,Manual,18.9,82.0,16,Jun,2018,3.1,Agra
Maruti,Third Party,Petrol,5,36937.0,Second Owner,1197,Manual,19.1,85.8,14,Jun,2013,4.68,Bangalore
Hyundai,Comprehensive,CNG,5,37082.0,First Owner,1086,Manual,30.48,58.0,16,Jun,2020,5.43,Mumbai
Hyundai,Comprehensive,Petrol,5,70473.0,Second Owner,1197,Manual,18.6,81.83,16,Jun,2014,4.87,Bangalore
Others,Comprehensive,Petrol,5,62000.0,First Owner,1798,Automatic,15.26,187.74,18,May,2017,22.5,Delhi
Hyundai,Comprehensive,Petrol,5,31273.0,Second Owner,1497,Manual,17.7,113.42,16,Jun,2020,10.25,Hyderabad
Others,Not Available,Petrol,5,66293.0,Second Owner,1198,Manual,20.63,67.0,16,Nov,2015,1.7,Delhi
Tata,Third Party,Petrol,5,16787.0,First Owner,1199,Manual,19.33,86.83,16,Jun,2020,7.76,Delhi
Renault,Third Party,Petrol,5,35793.0,First Owner,799,Manual,25.17,53.3,16,Jun,2018,3.59,Delhi
Honda,Comprehensive,Petrol,5,70000.0,Second Owner,1799,Manual,13.5,130.0,15,Jun,2018,3.85,Bangalore
Maruti,Third Party,Petrol,5,10857.0,First Owner,1197,Manual,21.01,81.8,16,Jun,2020,7.68,Delhi
Maruti,Third Party,Petrol,5,1955.0,Second Owner,1197,Manual,21.21,81.8,16,Jun,2019,5.48,Delhi
Maruti,Others,Diesel,5,120000.0,First Owner,1248,Manual,24.3,88.5,16,Jun,2018,5.8,Agra
Skoda,Not Available,Diesel,5,97737.0,Second Owner,1498,Automatic,21.66,103.52,15,Feb,2015,4.11,Jaipur
Others,Comprehensive,Petrol,5,77000.0,First Owner,1353,Manual,16.1,138.0,17,Sept,2019,11.5,Ahmedabad
Hyundai,Comprehensive,Diesel,5,51000.0,First Owner,1995,Automatic,16.38,182.46,18,Mar,2019,23.0,Pune
Maruti,Third Party,Diesel,5,75807.0,First Owner,1248,Manual,27.39,74.0,16,Sept,2018,6.75,Jaipur
Others,Third Party,Diesel,5,50000.0,Second Owner,1968,Automatic,16.55,147.51,16,Nov,2012,8.89,Mumbai
Maruti,Third Party,Petrol,5,62998.0,First Owner,1197,Automatic,21.21,81.8,15,Jun,2018,7.56,Bangalore
Maruti,Comprehensive,Petrol,5,64883.0,First Owner,1197,Manual,20.85,83.14,15,Jun,2016,6.53,Hyderabad
Maruti,Third Party,Petrol,5,10000.0,First Owner,998,Manual,24.35,65.71,16,Jun,2018,5.83,Agra
Hyundai,Third Party,Petrol,5,34836.0,First Owner,1197,Manual,18.9,81.86,16,Jun,2017,4.72,Delhi
Renault,Third Party,Petrol,5,52624.0,First Owner,1330,Manual,16.42,153.866,17,Feb,2021,9.49,Jaipur
Skoda,Comprehensive,Diesel,5,89417.0,First Owner,1498,Automatic,21.66,103.52,15,Jun,2016,7.23,Bangalore
Maruti,Third Party,Petrol,5,55455.0,First Owner,1197,Manual,21.01,81.8,16,Jun,2021,6.73,Hyderabad
Hyundai,Third Party,Petrol,5,60000.0,Third or More Owners,1197,Manual,17.19,81.86,16,Jun,2018,6.0,Bangalore
BMW,Comprehensive,Diesel,5,103000.0,Third or More Owners,1995,Automatic,17.05,188.0,17,Nov,2013,8.25,Jaipur
Maruti,Comprehensive,Petrol,5,27476.0,First Owner,1462,Manual,20.65,103.25,16,Jun,2021,10.85,Hyderabad
Ford,Not Available,Diesel,5,25776.0,First Owner,1498,Manual,23.0,98.96,16,Dec,2019,8.0,Jaipur
Maruti,Comprehensive,Diesel,5,78238.0,Second Owner,1248,Manual,25.2,74.0,16,Jun,2014,4.96,Hyderabad
Maruti,Third Party,Petrol,5,20589.0,First Owner,796,Manual,24.7,47.3,16,Jun,2018,3.09,Delhi
Hyundai,Comprehensive,Petrol,5,40112.0,First Owner,814,Manual,21.1,55.2,16,Jun,2016,2.98,Hyderabad
Others,Comprehensive,Petrol,5,9700.0,First Owner,1451,Automatic,13.96,141.0,17,Jun,2019,16.0,Mumbai
Honda,Comprehensive,Petrol,5,59771.0,First Owner,1497,Manual,17.4,117.3,16,Jun,2015,6.44,Hyderabad
Tata,Third Party,Petrol,5,8179.0,First Owner,1198,Automatic,17.0,108.5,16,May,2019,10.0,Hyderabad
Maruti,Third Party,CNG,5,37676.0,Second Owner,998,Manual,26.6,58.16,16,Jun,2018,4.54,Mumbai
Maruti,Not Available,Petrol,5,123802.0,Second Owner,998,Manual,20.92,67.1,13,May,2012,1.7,Jaipur
Ford,Comprehensive,Diesel,5,76103.0,First Owner,1498,Manual,22.7,89.84,16,Jun,2014,5.64,Mumbai
Toyota,Third Party,Petrol,5,19979.0,First Owner,1798,Automatic,14.28,138.03,16,Jan,2018,12.5,Mumbai
Others,Comprehensive,Petrol,4,22000.0,First Owner,1798,Automatic,16.6,177.0,17,Dec,2015,39.5,Bangalore
Hyundai,Others,Petrol,5,50000.0,Second Owner,1086,Manual,19.81,68.05,16,Jun,2018,1.7,Kolkata
Hyundai,Not Available,Diesel,5,50328.0,First Owner,1396,Manual,21.9,101.59817658967516,14,Jan,2013,3.11,Mumbai
BMW,Comprehensive,Diesel,5,57000.0,Second Owner,1995,Automatic,18.48,101.59817658967516,17,Feb,2012,12.9,Mumbai
Hyundai,Third Party,Petrol,5,63494.0,First Owner,1197,Manual,18.9,82.0,16,Jun,2014,3.47,Mumbai
Maruti,Third Party,Petrol,5,57875.0,First Owner,998,Manual,21.7,65.71,16,Jun,2020,4.38,Hyderabad
Honda,Comprehensive,Petrol,5,26501.0,First Owner,1199,Manual,19.5,88.76,16,Jun,2019,6.11,Delhi
Others,Comprehensive,Diesel,5,65262.0,First Owner,2993,Automatic,14.47,301.73,19,Oct,2014,38.0,Jaipur
Maruti,Third Party,Diesel,5,80000.0,Second Owner,1248,Manual,25.2,74.0,16,Mar,2014,3.45,Agra
Hyundai,Not Available,Petrol,5,27282.0,Second Owner,1197,Manual,18.6,81.86,15,Nov,2020,6.0,Jaipur
Maruti,Third Party,Petrol,5,64467.0,Second Owner,796,Manual,24.7,47.3,16,Jun,2018,2.96,Hyderabad
Maruti,Others,Petrol,5,46517.0,First Owner,1373,Manual,28.09,91.1,16,Feb,2019,7.25,Ahmedabad
Mahindra,Third Party,Diesel,8,55000.0,First Owner,2179,Manual,14.02,118.3,16,Apr,2015,5.75,Ahmedabad
Maruti,Third Party,Petrol,5,63000.0,First Owner,998,Automatic,23.1,67.04,16,Mar,2014,3.85,Delhi
Hyundai,Third Party,Petrol,5,32000.0,First Owner,1591,Manual,15.29,121.3,17,Jan,2018,10.9,Mumbai
Renault,Third Party,Petrol,5,11151.0,First Owner,1498,Manual,16.42,104.55,16,Jun,2020,11.3,Bangalore
Maruti,Third Party,Petrol,5,29901.0,First Owner,1197,Manual,20.89,81.8,15,Mar,2018,4.5,Kolkata
Toyota,Third Party,Petrol,5,52880.0,First Owner,1496,Automatic,17.8,105.5,15,Jun,2018,8.75,Pune
Honda,Not Available,Diesel,5,36195.0,First Owner,1498,Manual,25.5,98.6,16,Sept,2018,8.0,Hyderabad
Others,Third Party,Petrol,5,39002.0,First Owner,1353,Automatic,16.5,138.08,17,Jun,2020,16.21,Bangalore
Honda,Comprehensive,Diesel,5,57127.0,First Owner,1498,Manual,26.0,98.6,15,Mar,2016,5.75,Kolkata
