Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
Maruti,Comprehensive,Petrol,5.0,29299.0,First Owner,1197.0,Manual,21.21,81.8,,Jun,2015.0,4.29,Mumbai
Tata,Comprehensive,Petrol,5.0,21080.0,Second Owner,1199.0,Manual,23.84,84.0,,Sept,2017.0,5.0,Bangalore
Maruti,Comprehensive,Petrol,5.0,49125.0,First Owner,1462.0,Manual,17.03,103.26,R16,Oct,2020.0,10.0,Hyderabad
Hyundai,Comprehensive,Petrol,5.0,26152.0,First Owner,1197.0,Manual,17.52,81.86,,Jun,2019.0,7.99,Mumbai
Hyundai,Third Party insurance,Petrol,5.0,60000.0,Fourth Owner,1197.0,Manual,20.36,78.9,13,,,2.5,Bangalore
Fiat,Third Party,Petrol,5.0,48392.0,Second Owner,1368.0,Manual,14.6,112.0,16,Oct,2012.0,1.5,Ahmedabad
Mercedes-Benz,Third Party insurance,Diesel,5.0,106000.0,First Owner,2143.0,Automatic,14.84,170.0,16,Sept,2011.0,11.25,Hyderabad
Honda,Comprehensive,Petrol,5.0,58000.0,First Owner,1198.0,Manual,16.7,88.8,15,Oct,2012.0,2.5,Kolkata
Ford,Not Available,Diesel,5.0,105863.0,First Owner,1399.0,Manual,20.0,68.0,14,Dec,2012.0,1.75,Bangalore
Maruti,Not Available,Petrol,5.0,19813.0,First Owner,1462.0,Manual,18.55,103.25,,Nov,2020.0,9.0,Jaipur
Hyundai,Third Party,Diesel,5.0,69090.0,Second Owner,1582.0,Automatic,22.32,126.32,16,Jun,2014.0,6.75,Bangalore
Toyota,Third Party insurance,Diesel,7.0,149000.0,Second Owner,4461.0,Automatic,11.0,261.49,18,Apr,2012.0,59.5,Kolkata
Hyundai,Third Party,Petrol,5.0,61181.0,First Owner,1197.0,Manual,18.9,82.0,,Jun,2015.0,3.78,Kolkata
Chevrolet,Not Available,Diesel,5.0,82043.0,First Owner,936.0,Manual,25.44,57.6,14,Jan,2012.0,1.37,Jaipur
Skoda,Not Available,Diesel,5.0,115581.0,Second Owner,1498.0,Automatic,21.66,103.6,15,Apr,2015.0,3.12,Delhi
Mahindra,Third Party,Diesel,7.0,89549.0,First Owner,2179.0,Automatic,16.0,140.0,17,Jun,2017.0,12.98,Bangalore
Maruti,Third Party,Petrol,5.0,40874.0,Second Owner,998.0,Manual,19.0,67.1,13,Jul,2010.0,1.5,Kolkata
Skoda,Third Party insurance,Petrol,5.0,37962.0,First Owner,1798.0,Automatic,14.67,177.46,17,Oct,2018.0,24.07,Bangalore
Maruti,Comprehensive,Diesel,5.0,92313.0,Second Owner,1248.0,Manual,23.4,74.0,14,Dec,2013.0,3.36,Ahmedabad
Volkswagen,Third Party insurance,Petrol,5.0,15000.0,First Owner,999.0,Manual,17.74,75.1,R15,Jun,2019.0,4.7,Kolkata
Renault,Comprehensive,Petrol,5.0,36926.0,Second Owner,1498.0,Automatic,14.99,104.5,,Jun,2019.0,9.14,Bangalore
